id,weapon,category,season,rank,points
49,Epee,Veterans,2016/2017,106,0.000
49,Epee,Veterans,2016/2017,106,0.000
170,Foil,Senior,2004/2005,297,2.000
170,Foil,Veterans,2016/2017,19,0.000
170,Foil,Veterans,2017/2018,37,0.000
427,Epee,Veterans,2016/2017,13,0.000
427,Epee,Veterans,2016/2017,13,0.000
427,Epee,Veterans,2016/2017,13,0.000
427,Epee,Veterans,2017/2018,25,0.000
427,Epee,Veterans,2017/2018,25,0.000
427,Epee,Veterans,2017/2018,25,0.000
593,Foil,Senior,2009/2010,420,0.000
593,Foil,Senior,2009/2010,420,0.000
593,Foil,Senior,2011/2012,443,0.000
593,Foil,Senior,2011/2012,443,0.000
593,Foil,Senior,2014/2015,544,0.000
593,Foil,Senior,2014/2015,544,0.000
593,Foil,Senior,2015/2016,523,0.000
593,Foil,Senior,2015/2016,523,0.000
593,Foil,Veterans,2016/2017,34,0.000
593,Foil,Veterans,2016/2017,34,0.000
593,Foil,Veterans,2017/2018,25,0.000
593,Foil,Veterans,2017/2018,25,0.000
643,Foil,Veterans,2017/2018,22,0.000
697,Foil,Senior,2005/2006,268,2.000
697,Foil,Senior,2011/2012,463,0.000
697,Foil,Veterans,2016/2017,125,0.000
697,Foil,Veterans,2017/2018,147,0.000
807,Foil,Veterans,2017/2018,97,0.000
811,Foil,Veterans,2016/2017,31,0.000
862,Epee,Veterans,2016/2017,46,0.000
862,Epee,Veterans,2016/2017,46,0.000
862,Epee,Veterans,2017/2018,109,0.000
862,Epee,Veterans,2017/2018,109,0.000
1034,Epee,Senior,2006/2007,433,0.000
1034,Epee,Senior,2006/2007,433,0.000
1034,Epee,Senior,2006/2007,433,0.000
1034,Epee,Senior,2008/2009,771,0.000
1034,Epee,Senior,2008/2009,771,0.000
1034,Epee,Senior,2008/2009,771,0.000
1034,Epee,Senior,2009/2010,459,0.000
1034,Epee,Senior,2009/2010,459,0.000
1034,Epee,Senior,2009/2010,459,0.000
1034,Epee,Senior,2011/2012,611,0.000
1034,Epee,Senior,2011/2012,611,0.000
1034,Epee,Senior,2011/2012,611,0.000
1034,Epee,Senior,2012/2013,606,0.000
1034,Epee,Senior,2012/2013,606,0.000
1034,Epee,Senior,2012/2013,606,0.000
1034,Epee,Senior,2013/2014,561,0.000
1034,Epee,Senior,2013/2014,561,0.000
1034,Epee,Senior,2013/2014,561,0.000
1034,Epee,Senior,2014/2015,619,0.000
1034,Epee,Senior,2014/2015,619,0.000
1034,Epee,Senior,2014/2015,619,0.000
1034,Epee,Senior,2016/2017,501,0.000
1034,Epee,Senior,2016/2017,501,0.000
1034,Epee,Senior,2016/2017,501,0.000
1034,Epee,Senior,2019/2020,694,0.000
1034,Epee,Senior,2019/2020,694,0.000
1034,Epee,Senior,2019/2020,694,0.000
1034,Epee,Veterans,2017/2018,16,0.000
1034,Epee,Veterans,2017/2018,16,0.000
1034,Epee,Veterans,2017/2018,16,0.000
1427,Epee,Senior,2005/2006,303,2.000
1427,Epee,Senior,2006/2007,470,0.000
1427,Epee,Senior,2007/2008,628,0.000
1427,Epee,Senior,2008/2009,239,4.000
1427,Epee,Senior,2009/2010,156,12.000
1427,Epee,Senior,2010/2011,370,2.000
1427,Epee,Senior,2011/2012,187,6.000
1427,Epee,Senior,2012/2013,294,2.000
1427,Epee,Senior,2013/2014,741,0.000
1427,Epee,Senior,2014/2015,172,6.000
