competition_ID,season,name,category,country,start_date,end_date,weapon,gender,timezone,url,unique_ID,missing_results_flag
1366,2017,Championnats du monde Vétérans 70+,Veterans,SLOVENIA,2017-10-16,2017-10-16,Foil,Mens,Europe/Ljubljana,https://fie.org/competitions/2017/1366,2017-1366,
238,2021,Championnats du monde juniors-cadets,Cadet,EGYPT,2021-04-07,2021-04-07,Foil,Mens,Africa/Cairo,https://fie.org/competitions/2021/238,2021-238,
1074,2016,Championnats de qualifications panaméricains,Senior,COSTA RICA,2016-04-17,2016-04-17,Foil,Mens,America/Costa_Rica,https://fie.org/competitions/2016/1074,2016-1074,
964,2010,Jeux Centraméricains et des Caraïbes,Senior,PUERTO RICO,2010-07-18,2010-07-23,Foil,Mens,America/Puerto_Rico,https://fie.org/competitions/2010/964,2010-964,no pools data
50,2008,Coupe du Monde,Junior,POLAND,2007-12-02,2007-12-02,Foil,Mens,Europe/Warsaw,https://fie.org/competitions/2008/50,2008-50,no pools data
391,2007,Leon Paul satellite fleuret masculin,Senior,GREAT BRITAIN,2006-10-21,2006-10-22,Foil,Mens,Europe/London,https://fie.org/competitions/2007/391,2007-391,no pools data
54,2005,Tournoi  Citta di Como,Junior,ITALY,2005-02-06,2005-02-06,Foil,Mens,Europe/Rome,https://fie.org/competitions/2005/54,2005-54,no pools data
142,2004,Löwe von Bonn,Senior,GERMANY,2004-05-08,2004-05-09,Foil,Mens,Europe/Berlin,https://fie.org/competitions/2004/142,2004-142,no pools data
50,2004,Coupe du Monde,Junior,POLAND,2003-12-07,2003-12-07,Foil,Mens,Europe/Warsaw,https://fie.org/competitions/2004/50,2004-50,no pools data
134,2003,Fleuret de St-Petersbourg,Senior,RUSSIA,2002-12-14,2002-12-15,Foil,Mens,Europe/Moscow,https://fie.org/competitions/2003/134,2003-134,no pools data
226,1994,Championnats du Monde,Junior,MEXICO,1994-03-27,1994-04-02,Foil,Mens,America/Mexico_City,https://fie.org/competitions/1994/226,1994-226,no pools data
766,2016,Championnats asiatiques cadets,Cadet,BAHRAIN,2016-02-25,2016-02-25,Foil,Mens,Asia/Riyadh,https://fie.org/competitions/2016/766,2016-766,no pools data
226,1984,Championnats du Monde,Junior,RUSSIA,1984-04-19,1984-04-23,Foil,Mens,Europe/Moscow,https://fie.org/competitions/1984/226,1984-226,no pools data
140,2017,Absolute Fencing Gear Long Beach Foil Grand Prix,Senior,USA,2017-03-17,2017-03-18,Foil,Mens,America/Los_Angeles,https://fie.org/competitions/2017/140,2017-140,
142,2016,Challenge International de Paris,Senior,FRANCE,2016-01-15,2016-01-16,Foil,Mens,Europe/Paris,https://fie.org/competitions/2016/142,2016-142,
226,2000,Championnats du Monde,Junior,USA,2000-04-18,2000-04-25,Foil,Mens,America/New_York,https://fie.org/competitions/2000/226,2000-226,no pools data
