id,name,country_code,country,hand,age,url,date_accessed
28761,DVORKIN Mary,ISR,ISRAEL,Left,24,https://fie.org/athletes/28761,2021-05-11 18:16:54
43803,SHI Yue,CHN,CHINA,Right,22,https://fie.org/athletes/43803,2021-05-10 10:45:51
46080,TANG Nga Hei,MAC,"MACAO, CHINA",Right,20,https://fie.org/athletes/46080,2021-05-11 18:11:26
46481,WONAME Kelsey Victoria Afriyie,GHA,GHANA,Right,17,https://fie.org/athletes/46481,2021-05-11 09:24:42
47075,BRECHERET Carolina,BRA,BRAZIL,Right,16,https://fie.org/athletes/47075,2021-05-11 10:37:28
37506,DA SILVA Kathryn,RSA,SOUTH AFRICA,Left,19,https://fie.org/athletes/37506,2021-05-11 10:40:10
45971,KOUTOGLO Abla Francoise,TOG,TOGO,Right,22,https://fie.org/athletes/45971,2021-05-11 10:40:55
20482,YANAOKA Haruka,JPN,JAPAN,Right,26,https://fie.org/athletes/20482,2021-05-11 18:15:32
22533,GOLDIE Alanna,CAN,CANADA,Right,27,https://fie.org/athletes/22533,2021-05-11 18:15:35
39433,NEMCOVA Stepanka,CZE,CZECH REPUBLIC,Right,20,https://fie.org/athletes/39433,2021-05-11 18:15:37
28701,CIPRESSA Erica,ITA,ITALY,Right,24,https://fie.org/athletes/28701,2021-05-11 18:15:44
20514,THIBUS Ysaora,FRA,FRANCE,Right,29,https://fie.org/athletes/20514,2021-05-11 18:15:46
43554,HANY Noha,EGY,EGYPT,Right,20,https://fie.org/athletes/43554,2021-05-11 18:15:49
28713,MORI Chihiro,JPN,JAPAN,Right,23,https://fie.org/athletes/28713,2021-05-11 18:15:51
29233,HONG Hyo Jin,KOR,KOREA,Right,27,https://fie.org/athletes/29233,2021-05-11 18:15:53
4164,MOHAMED Aida,HUN,HUNGARY,Left,45,https://fie.org/athletes/4164,2021-05-11 18:16:03
33352,WANGLEMBAM Thoibi Devi,IND,INDIA,Right,23,https://fie.org/athletes/33352,2021-05-11 18:16:05
17481,SAUER Anne,GER,GERMANY,Right,30,https://fie.org/athletes/17481,2021-05-11 18:16:07
34890,CHEN Qingyuan,CHN,CHINA,Right,24,https://fie.org/athletes/34890,2021-05-11 18:16:10
33865,TANGHERLINI Elena,ITA,ITALY,Left,23,https://fie.org/athletes/33865,2021-05-11 18:16:12
20041,HAMMAD Ghareeba,QAT,QATAR,Right,32,https://fie.org/athletes/20041,2021-05-11 18:16:14
21581,MONACO Beatrice,ITA,ITALY,Left,29,https://fie.org/athletes/21581,2021-05-11 12:05:36
37965,TARANENKO Anna,UKR,UKRAINE,Left,20,https://fie.org/athletes/37965,2021-05-11 12:05:38
8280,OH Hye Mi,KOR,KOREA,Left,35,https://fie.org/athletes/8280,2021-05-11 12:05:40
40025,AZUMA Sera,JPN,JAPAN,Right,21,https://fie.org/athletes/40025,2021-05-11 12:05:43
9309,RYAN Kelleigh,CAN,CANADA,Right,34,https://fie.org/athletes/9309,2021-05-11 12:05:45
30818,BIANCHIN Elisabetta,ITA,ITALY,Right,24,https://fie.org/athletes/30818,2021-05-11 12:05:47
27237,ZAGIDULLINA Adelina,RUS,RUSSIA,Right,28,https://fie.org/athletes/27237,2021-05-11 12:05:50
36458,POSGAY Zsofia,GER,GERMANY,Left,22,https://fie.org/athletes/36458,2021-05-11 12:05:52
25197,CHAE Songoh,KOR,KOREA,Right,32,https://fie.org/athletes/25197,2021-05-11 12:05:54
13428,NISHIOKA Shiho,JPN,JAPAN,Right,32,https://fie.org/athletes/13428,2021-05-11 12:05:57
10357,LIM Seungmin,KOR,KOREA,Right,36,https://fie.org/athletes/10357,2021-05-11 12:05:59
19574,BIMOVA Andrea,CZE,CZECH REPUBLIC,Left,28,https://fie.org/athletes/19574,2021-05-11 12:06:02
30327,WALCZYK Julia,POL,POLAND,Right,23,https://fie.org/athletes/30327,2021-05-11 12:06:04
34433,ELSHARKAWY Yara,EGY,EGYPT,Left,22,https://fie.org/athletes/34433,2021-05-11 12:06:06
49287,ALBOININ Lina,QAT,QATAR,Right,15,https://fie.org/athletes/49287,2021-05-11 12:06:09
34952,CHALDAIOU Maria-Eleni,GRE,GREECE,Right,21,https://fie.org/athletes/34952,2021-05-11 12:06:11
32393,BRETEAU Andrea,ESP,SPAIN,Right,23,https://fie.org/athletes/32393,2021-05-11 12:06:13
32912,KONDRICZ Kata,HUN,HUNGARY,Right,22,https://fie.org/athletes/32912,2021-05-11 12:06:16
13459,JEON Hee Sook,KOR,KOREA,Left,36,https://fie.org/athletes/13459,2021-05-11 12:06:18
26262,KURACHI Miho,JPN,JAPAN,Right,27,https://fie.org/athletes/26262,2021-05-11 12:06:20
34969,AZUMA Rio,JPN,JAPAN,Right,22,https://fie.org/athletes/34969,2021-05-11 12:06:23
39578,ANDREYENKA Hanna,BLR,BELARUS,Right,20,https://fie.org/athletes/39578,2021-05-11 12:06:25
29852,BITTEROVA Kitti,SVK,SLOVAKIA,Right,23,https://fie.org/athletes/29852,2021-05-11 12:06:28
37023,KIKUCHI Komaki,JPN,JAPAN,Left,24,https://fie.org/athletes/37023,2021-05-11 12:06:30
9377,ERRIGO Arianna,ITA,ITALY,Left,32,https://fie.org/athletes/9377,2021-05-11 12:06:33
10402,BOUBAKRI Ines,TUN,TUNISIA,Left,32,https://fie.org/athletes/10402,2021-05-11 12:06:41
31906,KRAENKL Maria,AUT,AUSTRIA,Right,25,https://fie.org/athletes/31906,2021-05-11 12:06:48
42147,BUDENKO Kateryna,UKR,UKRAINE,Right,19,https://fie.org/athletes/42147,2021-05-11 12:06:50
