competition_ID,season,name,category,country,start_date,end_date,weapon,gender,timezone,url,unique_ID,missing_results_flag
121,2021,Grand Prix,Senior,QATAR,2021-03-26,2021-03-28,Foil,Womens,Asia/Qatar,https://fie.org/competitions/2021/121,2021-121,
800,2011,Championnats Panaméricains,Senior,USA,2011-07-04,2011-07-09,Foil,Womens,America/Los_Angeles,https://fie.org/competitions/2011/800,2011-800,no pools data
225,1958,Championnats du Monde,Junior,ROMANIA,1958-04-04,1958-04-07,Foil,Womens,Europe/Bucharest,https://fie.org/competitions/1958/225,1958-225,no pools data
41,2017,Tournoi international,Junior,GERMANY,2016-10-28,2016-10-28,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2017/41,2017-41,
800,2015,Championnats Panaméricains,Senior,CHILE,2015-04-17,2015-04-26,Foil,Womens,America/Santiago,https://fie.org/competitions/2015/800,2015-800,
1093,2015,2015 Summer Universiade,Senior,KOREA,2015-07-05,2015-07-05,Foil,Womens,Asia/Seoul,https://fie.org/competitions/2015/1093,2015-1093,no pools data
740,2013,Championnats d'Europe,Senior,CROATIA,2013-06-16,2013-06-21,Foil,Womens,Europe/Zagreb,https://fie.org/competitions/2013/740,2013-740,no pools data
225,1995,Championnats du Monde,Junior,FRANCE,1995-04-11,1995-04-16,Foil,Womens,Europe/Paris,https://fie.org/competitions/1995/225,1995-225,no pools data
225,2005,Champ du monde juniors-cadets,Junior,AUSTRIA,2005-03-28,2005-03-28,Foil,Womens,Europe/Vienna,https://fie.org/competitions/2005/225,2005-225,no pools data
327,2010,Championnats du Monde Vétérans,Veterans,CROATIA,2010-09-29,2010-10-03,Foil,Womens,Europe/Zagreb,https://fie.org/competitions/2010/327,2010-327,no pools data
771,2010,Championnats asiatiques juniors,Junior,PHILIPPINES,2010-03-12,2010-03-12,Foil,Womens,Asia/Manila,https://fie.org/competitions/2010/771,2010-771,no pools data
1087,2012,Championnats Panaméricains Cadets,Cadet,VENEZUELA,2012-03-08,2012-03-13,Foil,Womens,America/Caracas,https://fie.org/competitions/2012/1087,2012-1087,no pools data
243,2019,Championnats du Monde,Senior,HUNGARY,2019-07-16,2019-07-19,Foil,Womens,Europe/Budapest,https://fie.org/competitions/2019/243,2019-243,
279,2003,Championnats Panaméricains S,Senior,DOMINICAN REPUBLIC,2003-08-02,2003-08-07,Foil,Womens,America/Santo_Domingo,https://fie.org/competitions/2003/279,2003-279,no pools data
225,1963,Championnats du Monde,Junior,BELGIUM,1963-04-11,1963-04-16,Foil,Womens,Europe/Brussels,https://fie.org/competitions/1963/225,1963-225,no pools data
237,2016,Championnats du monde juniors-cadets,Cadet,FRANCE,2016-04-01,2016-04-01,Foil,Womens,Europe/Paris,https://fie.org/competitions/2016/237,2016-237,
129,2008,Prince Takamado WC,Senior,JAPAN,2008-05-09,2008-05-10,Foil,Womens,Asia/Tokyo,https://fie.org/competitions/2008/129,2008-129,no pools data
225,2000,Championnats du Monde,Junior,USA,2000-04-18,2000-04-25,Foil,Womens,America/New_York,https://fie.org/competitions/2000/225,2000-225,no pools data
237,1990,Championnats du Monde,Cadet,SWEDEN,1990-04-28,1990-04-30,Foil,Womens,Europe/Stockholm,https://fie.org/competitions/1990/237,1990-237,no pools data
41,2007,Tournoi international,Junior,GERMANY,2007-01-28,2007-01-28,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2007/41,2007-41,no pools data
